subj,targ,targ_cond,targ_ord,targ_pos,f1,f1_cond,f1_ord,f1_pos,f2,f2_cond,f2_ord,f2_pos,targ_f1,targ_f2,f1_f2
11,0,'Unexpected',214,3,0,'Expected',105,2,1,'Expected',26,1,109,188,79
11,1,'Expected',233,3,0,'Expected',176,2,0,'Expected',27,1,57,206,149
11,1,'Expected',29,1,0,'Expected',213,3,1,'Expected',181,2,-184,-152,32
11,0,'Expected',208,3,0,'Expected',33,1,1,'Expected',41,2,175,167,-8
11,1,'Expected',35,1,0,'Expected',184,3,1,'Expected',111,2,-149,-76,73
11,0,'Expected',67,2,1,'Expected',36,1,1,'Expected',121,3,31,-54,-85
11,0,'Unexpected',37,1,1,'Expected',227,3,1,'Expected',206,2,-190,-169,21
11,1,'Expected',112,2,1,'Expected',200,3,0,'Expected',42,1,-88,70,158
11,0,'Expected',165,3,1,'Unexpected',126,2,1,'Unexpected',43,1,39,122,83
11,0,'Expected',168,3,0,'Expected',75,2,1,'Unexpected',44,1,93,124,31
11,1,'Expected',185,3,1,'Expected',141,2,1,'Unexpected',45,1,44,140,96
11,1,'Expected',100,2,1,'Unexpected',46,1,1,'Expected',193,3,54,-93,-147
11,1,'Unexpected',66,3,0,'Unexpected',56,2,1,'Expected',48,1,10,18,8
11,1,'Expected',49,1,1,'Expected',231,3,1,'Expected',202,2,-182,-153,29
11,0,'Expected',217,3,0,'Expected',50,1,1,'Unexpected',207,2,167,10,-157
11,1,'Unexpected',194,3,1,'Unexpected',183,2,1,'Unexpected',51,1,11,143,132
11,1,'Expected',190,3,0,'Expected',53,1,0,'Expected',87,2,137,103,-34
11,0,'Expected',161,3,1,'Unexpected',57,1,1,'Unexpected',69,2,104,92,-12
11,1,'Expected',58,1,1,'Expected',103,3,1,'Expected',92,2,-45,-34,11
11,0,'Unexpected',59,1,0,'Expected',76,2,0,'Unexpected',211,3,-17,-152,-135
11,1,'Expected',204,3,0,'Unexpected',83,2,1,'Expected',60,1,121,144,23
11,1,'Expected',80,2,0,'Expected',62,1,1,'Expected',166,3,18,-86,-104
11,1,'Expected',192,3,0,'Unexpected',99,2,0,'Unexpected',63,1,93,129,36
11,1,'Expected',149,3,1,'Expected',64,1,1,'Expected',95,2,85,54,-31
11,1,'Expected',212,3,1,'Unexpected',164,2,1,'Expected',68,1,48,144,96
11,1,'Expected',70,1,0,'Expected',218,2,1,'Expected',224,3,-148,-154,-6
11,1,'Expected',189,3,0,'Unexpected',73,1,0,'Expected',110,2,116,79,-37
11,0,'Unexpected',134,2,1,'Expected',74,1,1,'Expected',191,3,60,-57,-117
11,1,'Expected',77,1,1,'Expected',158,2,1,'Unexpected',203,3,-81,-126,-45
11,1,'Unexpected',78,1,0,'Unexpected',201,3,0,'Unexpected',167,2,-123,-89,34
11,1,'Expected',197,2,1,'Expected',79,1,1,'Expected',226,3,118,-29,-147
11,1,'Unexpected',234,3,0,'Expected',81,1,0,'Expected',196,2,153,38,-115
11,1,'Expected',223,3,1,'Expected',82,1,1,'Unexpected',145,2,141,78,-63
11,0,'Unexpected',160,2,0,'Unexpected',84,1,1,'Expected',221,3,76,-61,-137
11,1,'Unexpected',85,1,0,'Unexpected',153,3,1,'Expected',97,2,-68,-12,56
11,1,'Unexpected',215,2,0,'Unexpected',229,3,0,'Expected',86,1,-14,129,143
11,0,'Expected',219,2,0,'Expected',88,1,0,'Expected',228,3,131,-9,-140
11,1,'Expected',96,2,1,'Expected',138,3,1,'Expected',89,1,-42,7,49
11,1,'Expected',120,3,1,'Expected',104,2,1,'Expected',90,1,16,30,14
11,1,'Expected',177,3,1,'Unexpected',91,1,1,'Unexpected',137,2,86,40,-46
11,0,'Expected',188,3,0,'Expected',109,2,1,'Expected',98,1,79,90,11
11,1,'Unexpected',135,2,1,'Expected',151,3,0,'Expected',101,1,-16,34,50
11,1,'Expected',102,1,1,'Unexpected',108,2,1,'Expected',125,3,-6,-23,-17
11,1,'Unexpected',139,2,1,'Expected',178,3,1,'Expected',106,1,-39,33,72
11,1,'Expected',175,3,0,'Unexpected',107,1,1,'Expected',162,2,68,13,-55
11,1,'Expected',123,2,0,'Expected',143,3,0,'Expected',114,1,-20,9,29
11,0,'Unexpected',115,1,0,'Expected',180,3,1,'Expected',150,2,-65,-35,30
11,1,'Unexpected',199,2,1,'Expected',216,3,1,'Unexpected',116,1,-17,83,100
11,0,'Expected',129,2,0,'Unexpected',117,1,1,'Unexpected',147,3,12,-18,-30
11,1,'Expected',118,1,1,'Expected',173,3,1,'Expected',148,2,-55,-30,25
11,1,'Expected',119,1,0,'Expected',133,2,1,'Expected',225,3,-14,-106,-92
11,1,'Expected',163,3,1,'Expected',157,2,1,'Expected',124,1,6,39,33
11,0,'Expected',128,1,1,'Unexpected',179,3,1,'Expected',136,2,-51,-8,43
11,1,'Expected',131,1,0,'Unexpected',156,2,1,'Unexpected',172,3,-25,-41,-16
11,1,'Expected',140,1,1,'Expected',198,3,1,'Expected',186,2,-58,-46,12
11,1,'Expected',171,2,1,'Expected',142,1,0,'Unexpected',195,3,29,-24,-53
12,1,'Expected',1,1,0,'Expected',148,3,1,'Expected',17,2,-147,-16,131
12,0,'Unexpected',2,1,0,'Unexpected',221,3,1,'Expected',41,2,-219,-39,180
12,1,'Expected',59,3,1,'Expected',24,2,1,'Expected',3,1,35,56,21
12,1,'Expected',32,2,0,'Expected',209,3,1,'Expected',4,1,-177,28,205
12,1,'Expected',5,1,0,'Expected',20,2,0,'Expected',65,3,-15,-60,-45
12,1,'Unexpected',54,2,0,'Expected',97,3,0,'Expected',6,1,-43,48,91
12,1,'Expected',83,3,0,'Expected',35,2,1,'Expected',7,1,48,76,28
12,1,'Expected',60,3,1,'Unexpected',8,1,1,'Expected',16,2,52,44,-8
12,1,'Expected',68,3,1,'Expected',9,1,1,'Unexpected',63,2,59,5,-54
12,0,'Expected',10,1,1,'Unexpected',30,2,1,'Expected',53,3,-20,-43,-23
12,1,'Expected',222,3,1,'Expected',11,1,0,'Expected',28,2,211,194,-17
12,1,'Expected',180,2,1,'Unexpected',12,1,0,'Expected',219,3,168,-39,-207
12,1,'Unexpected',13,1,1,'Expected',82,2,1,'Expected',130,3,-69,-117,-48
12,0,'Expected',229,3,0,'Unexpected',14,1,1,'Unexpected',189,2,215,40,-175
12,1,'Expected',73,2,0,'Expected',15,1,0,'Unexpected',205,3,58,-132,-190
12,1,'Unexpected',86,2,0,'Expected',18,1,1,'Unexpected',183,3,68,-97,-165
12,0,'Expected',164,2,0,'Expected',19,1,0,'Expected',194,3,145,-30,-175
12,1,'Unexpected',156,2,0,'Unexpected',21,1,0,'Expected',182,3,135,-26,-161
12,1,'Expected',185,3,0,'Expected',119,2,1,'Unexpected',22,1,66,163,97
